DATE,Address,Leese's Date,Title,Note
22.01.2010 Edged and numbered 4 in blue (part of),Flat 2004 Landmark West Tower (twentieth floor flat),23.12.2009 999 years from 1.1.2009,EGL566571,
22.01.2010 Edged and numbered 11 in blue,Parking Space 21 Landmark West Tower (basement level),23.12.2009 999 years from 1.1.2009,EGL566572,
22.01.2010 Edged and numbered 4 in blue (part of),Flat 1002 Landmark West Tower (tenth floor flat),22.12.2009 999 years from 1.1.2009,EGL566573,
25.01.2010 Edged and numbered 4 in blue (part of),Flat 2005 Landmark West Tower (twentieth floor flat),11.01.2010 999 years from 1.1.2009,EGL566661,
25.01.2010 Edged and numbered 4 in blue (part of),Flat 1001 Landmark West Tower (tenth floor flat),05.01.2010 999 years from 1.1.2009,EGL566670,
27.01.2010 Edged and numbered 4 in blue (part of),Flat 1408 Landmark West Tower (fourteenth floor flat),05.01.2010 999 years from 1.1.2009,EGL566759,
28.01.2010 Edged and numbered 4 in blue (part of),Flat 807 Landmark West Tower (eighth floor flat),11.12.2009 999 years from 1.1.2009,EGL566885,
28.01.2010 Edged and numbered 4 in blue (part of),Flat 1106 Landmark West Tower (eleventh floor flat),03.12.2009 999 years from 1.1.2009,EGL566893,
29.01.2010 Edged and numbered 4 in blue (part of),Flat 2602 Landmark West Tower (twenty sixth floor flat),23.12.2009 999 years from 1.1.2009,EGL566948,
29.01.2010 Edged and numbered 12 in blue on the supplementary plan,Parking Space 94 Landmark West Tower (basement level),23.12.2009 999 years from 1.1.2009,EGL566949,
29.01.2010 Edged and numbered 4 in blue (part of),Flat 406 Landmark West Tower (fourth floor flat),18.12.2009 999 years from 1.1.2009,EGL566976,
29.01.2010 Edged and numbered 13 in blue,Parking Space 68 Landmark West Tower (basement level),18.12.2009 999 years from 1.1.2009,EGL566977,
01.02.2010 Edged and numbered 4 in blue (part of),Flat 1903 Landmark West Tower (nineteenth floor flat),17.12.2009 999 years from 1.1.2009,EGL567027,
01.02.2010 Edged and numbered 4 in blue (part of),Flat 1311 Landmark West Tower (thirteenth floor flat),05.01.2010 999 years from 1.1.2009,EGL567028,
01.02.2010 Edged and numbered 4 in blue (part of),Flat 511 Landmark West Tower (fifth floor flat),23.12.2009 999 years from 1.1.2009,EGL567029,
02.02.2010 Edged and numbered 4 in blue (part of),Flat 208 Landmark West Tower (second floor flat),08.01.2010 999 years from 1.1.2009,EGL567140,
03.02.2010 Edged and numbered 4 in blue (part of),Flat 1103 Landmark West Tower (eleventh floor flat),13.01.2010 999 years from 1.1.2009,EGL567217,
03.02.2010 Edged and numbered 4 in blue (part of),Flat 2304 Landmark West Tower (twenty third floor flat),20.11.2009 999 years from 1.1.2009,EGL567254,
04.02.2010 Edged and numbered 4 in blue (part of),Flat 1308 Landmark West Tower (thirteenth floor flat),12.01.2010 999 years from 1.1.2009,EGL567339,
04.02.2010 Edged and numbered 4 in blue (part of),Flat 1409 Landmark West Tower (fourteenth floor flat),03.12.2009 999 years from 1.1.2009,EGL567362,
04.02.2010 Edged and numbered 4 in blue (part of),Flat 1401 Landmark West Tower (fourteenth floor flat),03.12.2009 999 years from 1.1.2009,EGL567404,
05.02.2010 Edged and numbered 4 in blue (part of),Flat 1108 Landmark West Tower (eleventh floor flat),20.01.2010 999 years from 1.1.2009,EGL567463,
05.02.2010 Edged and numbered 4 in blue (part of),Flat 802 Landmark West Tower (eighth floor flat),07.01.2010 999 years from 1.1.2009,EGL567464,
05.02.2010 Edged and numbered 4 in blue (part of),Flat 803 Landmark West Tower (eighth floor flat),08.01.2010 999 years from 1.1.2009,EGL567465,
08.02.2010 Edged and numbered 4 in blue (part of),Flat 2103 Landmark West Tower (twenty-first floor flat),12.01.2010 999 years from 1.1.2009,EGL567543,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2209 Landmark West Tower (twenty-second floor flat),22.01.2010 999 years from 1.1.2009,EGL567583,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1109 Landmark West Tower (eleventh floor flat),22.01.2010 999 years from 1.1.2009,EGL567585,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2202 Landmark West Tower (twenty-second floor flat),05.01.2010 999 years from 1.1.2009,EGL567606,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2007 Landmark West Tower (twentieth floor),07.01.2010 999 years from 1.1.2009,EGL567607,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2008 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567609,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2009 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567610,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1910 Landmark West Tower (nineteenth floor flat),23.12.2009 999 years from 1.1.2009,EGL567613,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2006 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567617,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1701 Landmark West Tower (seventeenth floor flat),11.01.2010 999 years from 1.1.2009,EGL567625,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 2010 Landmark West Tower (twentieth floor flat),07.01.2010 999 years from 1.1.2009,EGL567628,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1902 Landmark West Tower (nineteenth floor flat),21.01.2010 999 years from 1.1.2009,EGL567636,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1806 Landmark West Tower (eighteenth floor flat),07.01.2010 999 years from 1.1.2009,EGL567635,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 201 Landmark West Tower (second floor flat),18.12.2009 999 years from 1.1.2009,EGL567645,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 407 Landmark West Tower (fourth floor flat),23.12.2009 999 years from 1.1.2009,EGL567648,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1204 Landmark West Tower (twelfth floor flat),05.01.2010 999 years from 1.1.2009,EGL567650,
09.02.2010 Edged and numbered 4 in blue (part of),Flat 1909 Landmark West Tower (nineteenth floor flat),08.01.2010 999 years from 1.1.2009,EGL567656,
10.02.2010 Edged and numbered 4 in blue (part of),Flat 1802 Landmark West Tower (eighteenth floor flat),07.01.2010 999 years from 1.1.2009,EGL567711,
11.02.2010 Edged and numbered 4 in blue (part of),Flat 1203 Landmark West Tower (twelfth floor flat),11.01.2010 999 years from 1.1.2009,EGL567778,
12.02.2010 Edged and numbered 4 in blue (part of),Flat 801 Landmark West Tower (eighth floor flat),08.01.2010 999 years from 1.1.2009,EGL567826,
12.02.2010 Edged and numbered 4 in blue (part of),Flat 811 Landmark West Tower (eighth floor flat),11.01.2010 999 years from 1.1.2009,EGL567827,
12.02.2010 Edged and numbered 4 in blue (part of),Flat 810 Landmark West Tower (eighth floor flat),11.01.2010 999 years from 1.1.2009,EGL567828,
15.02.2010 Edged and numbered 4 in blue (part of),Flat 2501 Landmark West Tower (twenty-fifth floor flat),28.01.2010 999 years from 1.1.2009,EGL567880,
15.02.2010 Edged and numbered 4 in blue (part of ),Flat 509 Landmark West Tower (fifth floor flat),21.01.2010 999 years from 1.1.2009,EGL567889,
15.02.2010 Edged and numbered 4 in blue (part of),Flat 401 Landmark West Tower (fourth floor flat),29.01.2010 999 years from 1.1.2009,EGL567897,
16.02.2010 Edged and numbered 4 in blue (part of),Flat 211 Landmark West Tower (second floor flat),22.01.2010 999 years from 1.1.2009,EGL567920,
16.02.2010 Edged and numbered 4 in blue (part of),Flat 1908 Landmark West Tower (nineteenth floor flat),01.02.2010 999 years from 1.1.2009,EGL567939,
16.02.2010 Edged and numbered 4 in blue (part of),Flat 2301 Landmark West Tower (twenty third floor flat),18.01.2010 999 years from 1.1.2009,EGL567951,
16.02.2010 Edged and numbered 18 and 184 in blue on supplementary plan 1,Parking spaces 86 and 87 Landmark West Tower (basement level),18.01.2010 999 years from 1.1.2009,EGL567960,
17.02.2010 Edged and numbered 4 in blue (part of),Flat 2003 Landmark West Tower (twentieth floor flat),23.12.2009 999 years from 1.1.2009,EGL567980,
17.02.2010 Edged and numbered 4 in blue (part of),Flat 2002 Landmark West Tower (twentieth floor flat),23.12.2009 999 years from 1.1.2009,EGL567988,
17.02.2010 Edged and numbered 4 in blue (part of),Flat 2804 Landmark West Tower (twenty eighth floor flat),11.01.2010 999 years from 1.1.2009,EGL568005,
07.02.2010 Edged and numbered 14 in blue on supplementary plan 1,Parking space 91 Landmark West Tower (basement level),18.01.2010 999 years from 1.1.2009,EGL568010,
18.02.2010 Edged and numbered 4 in blue (part of),Flat 1209 Landmark West Tower (twelfth floor flat),15.01.2010 999 years from 1.1.2009,EGL568032,
18.02.2010 Edged and numbered 4 in blue (part of),Flat 1309 Landmark West Tower (thirteenth floor flat),29.01.2010 999 years from 1.1.2009,EGL568048,
19.02.2010 Edged and numbered 4 in blue (part of),Flat 1808 Landmark West Tower (eighteenth floor flat),22.12.2009 999 years from 1.1.2009,EGL568086,
19.02.2010 Edged and numbered 15 in blue on supplementary plan 1,Parking Space 22 Landmark West Tower (basement level),22.12.2009 999 years from 1.1.2009,EGL568088,
22.02.2010 Edged and numbered 4 in blue (part of) Rectification,Flat 2308 Landmark West Tower (twenty third floor flat) ted 26 January 2018,03.02.2010 999 years from 1.1.2009,EGL568130,See
22.02.2010 Edged and numbered 4 in blue (part of),Flat 1704 Landmark West Tower (seventeenth floor flat),04.01.2010 999 years from 1.1.2009,EGL568139,
22.02.2010 Edged and numbered 16 in blue on supplementary plan 1,Parking Space 29 Landmark West Tower (basement level),04.01.2010 999 years from 1.1.2009,EGL568148,
23.02.2010 Edged and numbered 4 in blue (part of),Flat 605 Landmark West Tower (sixth floor flat),22.01.2010 999 years from 1.1.2009,EGL568191,
23.02.2010 Edged and numbered 17 in blue on supplementary plan 1,Parking Space 72 Landmark West Tower (basement level),22.01.2010 999 years from 1.1.2009,EGL568195,
23.02.2010 Edged and numbered 4 in blue (part of),Flat 2701 Landmark West Tower (twenty seventh floor flat),29.01.2010 999 years from 1.1.2009,EGL568209,
23.02.2010 Edged and numbered 4 in blue (part of),Flat 2710 Landmark West Tower (twenty seventh floor flat),29.01.2010 999 years from 1.1.2009,EGL568211,
24.02.2010 Edged and numbered 4 in blue (part of),Flat 1904 Landmark West Tower (nineteenth floor flat),12.02.2010 999 years from 1.1.2009,EGL568220,
24.02.2010 Edged and numbered 4 in blue (part of),Flat 2210 Landmark West Tower (twenty second floor flat),10.02.2010 999 years from 1.1.2009,EGL568222,
26.02.2010 Edged and numbered 4 in blue (part of),Flat 1705 Landmark West Tower (seventeenth floor flat),22.12.2009 999 years from 1.1.2009,EGL568355,
26.02.2010 Edged and numbered 4 in blue (part of),Flat 711 Landmark West Tower (seventh floor flat),29.01.2010 999 years from 1.1.2009,EGL568357,
26.02.2010 Edged and numbered 4 in blue (part of),Flat 1703 Landmark West Tower (seventeenth floor flat),26.01.2010 999 years from 1.1.2009,EGL568359,
26.02.2010 Edged and numbered 19 in blue on supplementary plan 1,Parking Space 23 Landmark West Tower (basement level),26.01.2010 999 years from 1.1.2009,EGL568360,
01.03.2010 Edged and numbered 4 in blue (part of),Flat 2604 Landmark West Tower (twenty sixth floor flat),12.02.2010 999 years from 1.1.2009,EGL568242,
01.03.2010 Edged and numbered 4 in blue (part of),Flat 2407 Landmark West Tower (twenty fourth floor flat),02.02.2010 999 years from 1.1.2009,EGL568433,
02.03.2010 Edged and numbered 4 in blue (part of),Flat 1008 Landmark West Tower (fourth floor flat),08.12.2009 999 years from 1.1.2009,EGL568450,
02.03.2010 Edged and numbered 4 in blue (part of),Flat 409 Landmark West Tower (fourth floor flat),04.12.2009 999 years from 1.1.2009,EGL568464,
02.03.2010 Edged and numbered 4 in blue (part of),Flat 2510 Landmark West Tower (twenty fifth floor flat),09.02.2010 999 years from 1.1.2009,EGL568471,
02.03.2010 Edged and numbered 20 in blue on supplementary plan 1,Parking Space 96 Landmark West Tower (basement level),09.02.2010 999 years from 1.1.2009,EGL568472,
02.03.2010 Edged and numbered 4 in blue (part of),Flat 1206 Landmark West Tower (twelfth floor flat),27.11.2009 999 years from 1.1.2009,EGL568495,
02.03.2010 Edged and numbered 5 in blue on supplementary plan 1,Parking Space 97 Landmark West Tower (basement level),27.11.2009 999 years from 1.1.2009,EGL568496,
02.03.2010 Edged and numbered 4 in blue (part of),Flat 1406 Landmark West Tower (fourteenth floor flat),08.12.2009 999 years from 1.1.2009,EGL568497,
03.03.2010 Edged and numbered 4 in blue (part of),Flat 2001 Landmark West Tower (twentieth floor flat),09.02.2010 999 years from 1.1.2009,EGL568589,
04.03.2010 Edged and numbered 4 in blue (part of),Flat 1107 Landmark West Tower (eleventh floor flat),13.01.2010 999 years from 1.1.2009,EGL568634,
04.03.2010 Edged and numbered 4 in blue (part of),Flat 2409 Landmark West Tower (twenty-fourth floor flat),05.02.2010 999 years from 1.1.2009,EGL568641,
04.03.2010 Edged and numbered 4 in blue (part of),Flat 1405 Landmark West Tower (fourteenth floor flat),29.01.2010 999 years from 1.1.2009,EGL568643,
04.03.2010 Edged and numbered 21 in blue on supplementary plan 1,Parking Space 73 Landmark West Tower (basement level parking space),29.01.2010 999 years from 1.1.2009,EGL568644,
08.03.2010 Edged and numbered 4 in blue (part of),Flat 1410 Landmark West Tower (fourteenth floor flat),29.01.2010 999 years from 1.1.2009,EGL568726,
08.03.2010 Edged and numbered 4 in blue (part of),Flat 701 Landmark West Tower (seventh floor flat),22.12.2009 999 years from 1.1.2009,EGL568751,
09.03.2010 Edged and numbered 4 in blue (part of),Flat 508 Landmark West Tower (fifth floor flat),08.01.2010 999 years from 1.1.2009,EGL568796,
09.03.2010 Edged and numbered 4 in blue (part of),Flat 1504 Landmark West Tower (fifteenth floor flat),09.02.2010 999 years from 1.1.2009,EGL568806,
09.03.2010 Edged and numbered 22 in blue on supplementary plan 1,Parking Space 61 Landmark West Tower (basement level parking space),09.02.2010 999 years from 1.1.2009,EGL568807,
11.03.2010 Edged and numbered 4 in blue (part of),Flat 411 Landmark West Tower (fourth floor flat),18.02.2010 999 years from 1.1.2009,EGL568955,
11.03.2010 Edged and numbered 4 in blue (part of),Flat 809 Landmark West Tower (eighth floor flat),16.02.2010 999 years from 1.1.2009,EGL568956,
11.03.2010 Edged and numbered 4 in blue (part of),Flat 2303 Landmark West Tower (twenty-third floor flat),29.01.2010 999 years from 1.1.2009,EGL568957,
11.03.2010 Edged and numbered 4 in blue (part of),Flat 2610 Landmark West Tower (twenty-sixth floor flat),19.02.2010 999 years from 1.1.2009,EGL568958,
11.03.2010 Edged and numbered 23 in blue on supplementary plan 1,Parking Space 6 Landmark West Tower (basement level),19.02.2010 999 years from 1.1.2009,EGL568959,
12.03.2010 Edged and numbered 5 in blue (part of),Apartments 1-54 Whitby House,17.02.2010 125 years from 1.1.2009,EGL569033,
15.03.2010 Edged and numbered 24 in blue on supplementary plan 1,Parking Space 90 Landmark West Tower (basement level),08.02.2010 999 years from 1.1.2009,EGL569065,
15.03.2010 Edged and numbered 4 in blue (part of),Flat 1402 Landmark West Tower (fourteenth floor flat),19.02.2010 999 years from 1.1.2009,EGL569080,
15.03.2010 Edged and numbered 4 in blue (part of),Flat 2601 Landmark West Tower (twenty-sixth floor flat),18.02.2010 999 years from 1.1.2009,EGL569093,
15.03.2010 Edged and numbered 25 in blue on supplementary plan 1 dated 12 Octob,Parking Space 75 Landmark West Tower (basement level parking space) 2015.,18.02.2010 999 years from 1.1.2009,EGL569094,See
16.03.2010 Edged and numbered 4 in blue (part of),Flat 1307 Landmark West Tower (thirteenth floor flat),11.02.2010 999 years from 1.1.2009,EGL569150,
17.03.2010 Edged and numbered 4 in blue (part of),Flat 1404 Landmark West Tower (fourteenth floor flat),08.02.2010 999 years from 1.1.2009,EGL569190,
17.03.2010 Edged and numbered 4 in blue (part of),Flat 1009 Landmark West Tower (tenth floor flat),19.02.2010 999 years from 1.1.2009,EGL569191,
17.03.2010 Edged and numbered 4 in blue (part of),Flat 2105 Landmark West Tower (twenty-first floor flat),08.02.2010 999 years from 1.1.2009,EGL569201,
17.03.2010 Edged and numbered 26 in blue on supplementary plan 1,Parking Space 65 Landmark West Tower (basement level parking space),08.02.2010 999 years from 1.1.2009,EGL569203,
17.03.2010 Edged and numbered 4 in blue (part of),Flat 2110 Landmark West Tower (twenty-first floor flat),09.02.2010 999 years from 1.1.2009,EGL569211,
17.03.2010 Edged and numbered 27 in blue on supplementary plan 1,Parking Space 88 Landmark West Tower (basement level parking space),09.02.2010 999 years from 1.1.2009,EGL569212,
17.03.2010 Edged and numbered 4 in blue (part of),Flat 2605 Landmark West Tower (twenty-sixth floor flat),09.02.2010 999 years from 1.1.2009,EGL569213,
17.03.2010 Edged and numbered 28 in blue on supplementary plan 1,Parking Space 64 Landmark West Tower (basement level parking space),09.03.2010 999 years from 1.1.2009,EGL569214,
19.03.2010 Edged and numbered 4 in blue (part of),Flat 709 Landmark West Tower (seventh floor flat),05.02.2010 999 years from 1.1.2009,EGL569303,
22.03.2010 Edged and numbered 4 in blue (part of),Flat 503 Landmark West Tower (fifth floor flat),08.02.2010 999 years from 1.1.2009,EGL569349,
22.03.2010 Edged and numbered 4 in blue (part of),Flat 1809 Landmark West Tower (eighteenth floor flat),24.02.2010 999 years from 1.1.2009,EGL569350,
23.03.2010 Edged and numbered 4 in blue (part of),Flat 2404 Landmark West Tower (twenty-fourth floor flat),16.02.2010 999 years from 1.1.2009,EGL569399,
23.03.2010 Edged and numbered 4 in blue (part of),Flat 902 Landmark West Tower (ninth floor flat),23.03.2010 999 years from 1.1.2009,EGL569401,
23.03.2010 Edged and numbered 4 in blue (part of),Flat 909 Landmark West Tower (ninth floor flat),24.02.2010 999 years from 1.1.2009,EGL569406,
26.03.2010 Edged and numbered 4 in blue (part of),Flat 2305 Landmark West Tower (twenty-third floor flat),04.03.2010 999 years from 1.1.2009,EGL569609,
26.03.2010 Edged and numbered 29 in blue on supplementary plan 1,Parking space 10 Landmark West  Tower (basement level),04.03.2010 999 years from 1.1.2009,EGL569610,
29.03.2010 Edged and numbered 4 in blue (part of),Flat 1208 Landmark West Tower (twelfth floor flat),25.02.2010 999 years from 1.1.2009,EGL569677,
30.03.2010 Edged and numbered 4 in blue (part of),Flat 911 Landmark West Tower (ninth floor flat),01.03.2010 999 years from 1.1.2009,EGL569723,
30.03.2010 Edged and numbered 4 in blue (part of),Flat 901 Landmark West Tower (ninth floor flat),01.03.2010 999 years from 1.1.2009,EGL569736,
30.03.2010 Edged and numbered 4 in blue (part of),Flat 2204 Landmark West Tower (twenty-second floor flat),19.02.2010 999 years from 1.1.2009,EGL569738,
30.03.2010 Edged and numbered 4 in blue (part of),Flat 1601 Landmark West Tower (sixteenth floor flat),09.12.2009 999 years from 1.1.2009,EGL569741,
30.03.2010 Edged and numbered 30 in blue on supplementary plan 1,Parking space 60 Landmark West Tower (basement level),09.12.2009 999 years from 1.1.2009,EGL569744,
30.03.2010 Edged and numbered 4 in blue (part of),Flat 1306 Landmark West Tower (thirteenth floor flat),25.02.2010 999 years from 1.1.2009,EGL569761,
01.04.2010 Edged and numbered 4 in blue (part of),Flat 1407 Landmark West Tower (fourteenth floor flat),12.03.2010 999 years from 1.1.2009,EGL569852,
01.04.2010 Edged and numbered 4 in blue (part of),Flat 707 Landmark West Tower (seventh floor flat),05.03.2010 999 years from 1.1.2009,EGL569853,
01.04.2010 Edged and numbered 4 in blue (part of),Flat 1411 Landmark West Tower (fourteenth floor flat),05.03.2010 999 years from 1.1.2009,EGL569854,
07.04.2010 Edged and numbered 4 in blue (part of),Flat 209 Landmark West Tower (second floor flat),24.03.2010 999 years from 1.1.2009,EGL570017,
08.04.2010 Edged and numbered 4 in blue (part of),Flat 1003 Landmark West Tower (tenth floor flat),16.03.2010 999 years from 1.1.2009,EGL570058,
08.04.2010 Edged and numbered 4 in blue (part of),Flat 904 Landmark West Tower (ninth floor flat),05.03.2010 999 years from 1.1.2009,EGL570090,
09.04.2010 Edged and numbered 4 in blue (part of),Flat 2106 Landmark West Tower (twenty first floor flat),26.02.2010 999 years from 1.1.2009,EGL570142,
09.04.2010 Edged and numbered 1 in blue on supplementary plan 1,Parking space 74 Landmark West Tower (basement level),26.02.2010 999 years from 1.1.2009,EGL570143,
12.04.2010 Edged and numbered 4 in blue (part of ),Flat 2805 Landmark West Tower (twenty eighth floor flat),12.03.2010 999 years from 1.1.2009,EGL570171,
12.04.2010 Edged and numbered 2 in blue on supplementary plan 1,Parking space 76 (basement level),12.03.2010 999 years from 1.1.2009,EGL570173,
12.04.2010 Edged and numbered 4 in blue (part of),Flat 908 Landmark West Tower (ninth floor flat),01.04.2010 999 years from 1.1.2009,EGL570194,
13.04.2010 Edged and numbered 4 in blue (part of),Flat 1104 Landmark West Tower (eleventh floor flat),16.02.2010 999 years from 1.1.2009,EGL570264,
13.04.2010 Edged and numbered 4 in blue (part of),Flat 1907 Landmark West Tower (nineteenth floor flat),10.02.2010 999 years from 1.1.2009,EGL570265,
14.04.2010 Edged and numbered 4 in blue (part of),Flat 1007 Landmark West Tower (tenth floor flat),16.03.2010 999 years from 1.1.2009,EGL570322,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 501 Landmark West Tower (fifth floor flat),24.02.2010 999 years from 1.1.2009,EGL570331,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 1901 Landmark West Tower (nineteenth floor flat),16.02.2010 999 years from 1.1.2009,EGL570333,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 1905 Landmark West Tower (nineteenth floor flat),16.02.2010 999 years from 1.1.2009,EGL570335,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 1906 Landmark West Tower (nineteenth floor flat),16.02.2010 999 years from 1.1.2009,EGL570336,
15.05.2010 Edged and numbered 4 in blue (part of ),Flat 1305 Landmark West Tower (thirteenth floor flat),25.03.2010 999 years from 1.1.2009,EGL570338,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 705 Landmark West Tower (seventh floor flat),11.02.2010 999 years from 1.1.2009,EGL570340,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 1702 Landmark West Tower (seventeenth floor flat),08.01.2010 999 years from 1.1.2009,EGL570341,
15.04.2010 Edged and numbered 3 in blue on supplementary plan 1,Parking space 15 Landmark West Tower (basement level),11.02.2010 999 years from 1.1.2009,EGL570358,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 2808 Landmark West Tower (twenty eighth floor flat),23.03.2010 999 years from 1.1.2009,EGL570362,
15.04.2010 Edged and numbered 4 in blue (part of),Flat 2809 Landmark West Tower (twenty eighth floor flat),15.03.2010 999 years from 1.1.2009,EGL570363,
19.04.2010 Edged and numbered 4 in blue (part of),Flat 2801 Landmark West Tower (twenty eighth floor flat),04.03.2010 999 years from 1.1.2009,EGL570459,
19.04.2010 Edged and numbered 4 in blue on supplementary plan 1,Parking space 63 Landmark West Tower (basement level),04.03.2010 999 years from 1.1.2009,EGL570462,
20.04.2010 Edged and numbered 4 in blue (part of),Flat 1810 Landmark West Tower (eighteenth floor flat),25.02.2010 999 years from 1.1.2009,EGL570549,
