Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
21.04.2010Edged andnumbered 4 inblue (part of),Flat 1304 Landmark WestTower (thirteenth floorflat),15.02.2010999 years from1.1.2009,EGL570612,
21.04.2010Edged andnumbered 4 inblue (part of),Flat 1004 Landmark WestTower (tenth floor flat),18.02.2010999 years from1.1.2009,EGL570624,
22.04.2010Edged andnumbered 4 inblue (part of),Flat 2606 Landmark WestTower (twenty sixth floorflat),12.03.2010999 years from1.1.2009,EGL570686,
22.04.2010Edged andnumbered 31 inblue onsupplementaryplan 1,Parking space 7 LandmarkWest Tower (basement level),12.03.2010999 years from1.1.2009,EGL570704,
26.04.2010Edged andnumbered 4 inblue (part of),Flat 1111 Landmark WestTower (eleventh floor flat),24.12.2009999 years from1.1.2009,EGL570805,
28.04.2010Edged andnumbered 4 inblue (part of),Flat 2803 Landmark WestTower (twenty eighth floorflat),18.03.2010999 years from1.1.2009,EGL570889,
28.04.2010Edged andnumbered 4 inblue (part of),Flat 907 Landmark WestTower (ninth floor flat),14.04.2010999 years from1.1.2009,EGL570911,
29.04.2010Edged andnumbered 4 inblue (part of),Flat 310 Landmark WestTower (third floor flat),09.04.2010999 years from1.1.2009,EGL570959,
04.05.2010Edged andnumbered 4 inblue (part of),Flat 304 Landmark WestTower (third floor flat),09.04.2010999 years from1.1.2009,EGL571058,
04.05.2010Edged andnumbered 4 inblue (part of),Flat 302 Landmark WestTower (third floor flat),21.04.2010999 years from1.1.2009,EGL571092,
04.05.2010Edged andnumbered 4 inblue (part of),Flat 408 Landmark WestTower (fourth floor flat),29.04.2010999 years from1.1.2009,EGL571098,
04.05.2010Edged andnumbered 32 inblue onsupplementaryplan 1,Parking space 69 LandmarkWest Tower  (basementlevel),29.04.2010999 years from1.1.2009,EGL571099,
07.05.2010Edged andnumbered 4 inblue (part of),Flat 1604 Landmark WestTower (sixteenth floorflat),12.02.2010999 years from1.1.2009,EGL571216,
07.05.2010Edged andnumbered 33 inblue onsupplementaryplan 1,Parking space 82 LandmarkWest Tower (basement level),12.02.2010999 years from1.1.2009,EGL571235,
10.05.2010Edged andnumbered 4 inblue (part of),Flat 307 Landmark WestTower (third floor flat),23.04.2010999 years from1.1.2009,EGL571302,
13.05.2010Edged andnumbered 4 inblue (part of),Flat 3001 Landmark WestTower (thirtieth floorflat),22.03.2010999 years from1.1.2009,EGL571426,
13.05.2010Edged andnumbered 34 inblue onsupplementaryplan 1,Parking spaces 1&2 LandmarkWest Tower (basement level),22.03.2010999 years from1.1.2009,EGL571428,
14.05.2010Edged andnumbered 4 inblue (part of),Flat 1101 Landmark WestTower (eleventh floor flat),29.04.2010999 years from1.1.2009,EGL571483,
14.05.2010Edged andnumbered 4 inblue (part of),Flat 906 Landmark WestTower (ninth floor flat),19.02.2010999 years from1.1.2009,EGL571485,
14.05.2010Edged andnumbered 4 inblue (part of),Flat 905 Landmark WestTower (ninth floor flat),19.02.2010999 years from1.1.2009,EGL571486,
17.05.2010Edged andnumbered 4 inblue (part of),Flat 301 Landmark WestTower  (third floor flat),23.03.2010999 years from1.1.2009,EGL571566,
17.05.2010Edged andnumbered 4 inblue (part of),Flat 2402 Landmark WestTower (twenty third floorflat),30.04.2010999 years from1.1.2009,EGL571568,
18.05.2010Edged andnumbered 4 inblue (part of),Flat 1706 Landmark WestTower (seventeenth floorflat),02.03.2010999 years from1.1.2009,EGL571627,
18.05.2010Edged andnumbered 35 inblue onsupplementarytitle plan,Parking space 66 LandmarkWest Tower (basement levelparking space),02.03.2010999 years from1.1.2009,EGL571628,
20.05.2010Edged andnumbered 4 inblue (part of),Flat 2102 Landmark WestTower (twenty first floorflat),01.04.2010999 years from1.1.2009,EGL571692,
21.05.2010Edged andnumbered 4 inblue (part of),Flat 303 Landmark WestTower (third floor flat),01.04.2010999 years from1.1.2009,EGL571760,
26.05.2010Edged andnumbered 4 inblue (part of),Flat 710 Landmark WestTower (seventh floor flat),18.03.2010999 years from1.1.2009,EGL571889,
26.05.2010Edged andnumbered 4 inblue (part of),Flat 2310 Landmark WestTower (twenty third floorflat),15.03.2010999 years from1.1.2009,EGL571890,
26.05.2010Edged andnumbered 36 inblue onsupplementaryplan 1,Parking space 8 LandmarkWest Tower (basement level),15.03.2010999 years from1.1.2009,EGL571891,
02.06.2010Edged andnumbered 4 inblue (part of),Flat 1102 Landmark WestTower (eleventh floor flat),06.04.2010999 years from1.1.2009,EGL572185,
09.06.2010Edged andnumbered 4 inblue (part of),Flat 2405 Landmark WestTower (twenty fourth floorflat),16.04.2010999 years from1.1.2009,EGL572545,
09.06.2010Edged andnumbered 37 inblue onsupplementaryplan 1,Parking space 85 LandmarkWest Tower (basement level),16.04.2010999 years from1.1.2009,EGL572546,
25.06.2010Edged andnumbered 4 inblue (part of),Flat 903 Landmark WestTower (ninth floor flat),27.05.2010999 years from1.1.2009,EGL573302,
01.07.2010Edged andnumbered 4 inblue (part of),Flat 2307 Landmark WestTower (twenty third floorflat),17.05.2010999 years from1.1.2009,EGL573586,
01.07.2010Edged andnumbered 38 inblue onsupplementaryplan 1,Parking space 19 LandmarkWest Tower (basement level),17.05.2010999 years from1.1.2009,EGL573587,
02.07.2010Edged andnumbered 4 inblue (part of),Flat 405 Landmark WestTower (fourth floor flat),03.06.2010999 years from1.1.2009,EGL573591,
02.07.2010Edged andnumbered 4 inblue (part of),Flat 402 Landmark WestTower (fourth floor flat),03.06.2010999 years from1.1.2009,EGL573592,
02.07.2010Edged andnumbered 39 inblue onsupplementaryplan 1,Parking space 28 LandmarkWest Tower (basement level),03.06.2010999 years from1.1.2009,EGL573593,
02.07.2010Edged andnumbered 4 inblue (part of),Flat 2104 Landmark WestTower (twenty first floorflat),21.05.2010999 years from1.1.2009,EGL573594,
02.07.2010Edged andnumbered 4 inblue (part of),Flat 2810 Landmark WestTower (twenty eighth floorflat),21.05.2010999 years from1.1.2009,EGL573595,
02.07.2010Edged andnumbered 40 inblue onsupplementaryplan 1,Parking space 83 LandmarkWest Tower (basement level),21.05.2010999 years from1.1.2009,EGL573596,
08.07.2010Edged andnumbered 4 inblue (part of),Flat 34 Landmark West Tower(third floor flat),23.04.2010999 years from1.1.2009,EGL573970,
09.07.2010Edged andnumbered 4 inblue (part of),Flat 1310 Landmark WestTower (thirteenth floorflat),18.06.2010999 years from1.1.2009,EGL574002,
21.07.2010Edged andnumbered 4 inblue (part of),Flat 1207 Landmark WestTower (twelfth floor flat),15.06.2010999 years from1.1.2009,EGL574545,
02.08.2010Edged andnumbered 4 inblue (part of),Flat 2703 Landmark WestTower (twenty seventh floorflat),13.07.2010999 years from1.1.2009,EGL574987,
04.08.2010Edged andnumbered 4 inblue (part of),Flat 2707 Landmark WestTower (twenty seventh floorflat),23.07.2010999 years from1.1.2009,EGL575113,
05.08.2010Edged andnumbered 4 inblue (part of),Flat 404 Landmark WestTower (fourth floor flat),23.07.2010999 years from1.1.2009,EGL575162,
04.08.2010Edged andnumbered 4 inblue (part of),Flat 708 Landmark WestTower (seventh floor flat),23.07.2010999 years from1.1.2009,EGL575103,
17.08.2010Edged andnumbered 42 inblue onsupplementaryplan 1,Car Parking Space 56(basement level),14.07.2010999 years from1.1.2009,EGL575605,
09.08.2010Edged andnumbered 4 inblue (part of),Flat 1211 Landmark WestTower (twelfth floor flat),26.07.2010999 years from1.1.2009,EGL575280,
09.08.2010Edged andnumbered 4 inblue (part of),Flat 510 Landmark WestTower (fifth floor flat),22.07.2010999 years from1.1.2009,EGL575281,
09.08.2010Edged andnumbered 4 inblue (part of),Flat 2101 Landmark WestTower (twenty first floorflat),09.07.2010999 years from1.1.2009,EGL575282,
09.08.2010Edged andnumbered 41 inblue onsupplementaryplan 1,Parking space 62 LandmarkWest Tower (basement level),09.07.2010999 years from1.1.2009,EGL575283,
10.08.2010Edged andnumbered 4 inblue (part of),Flat 202 Landmark WestTower (second floor flat),02.07.2010999 years from1.1.2009,EGL575338,
10.08.2010Edged andnumbered 4 inblue (part of),Flat 702 Landmark WestTower (seventh floor flat),09.07.2010999 years from1.1.2009,EGL575398,
11.08.2010Edged andnumbered 4 inblue (part of),Flat 505 Landmark WestTower (fifth floor flat),20.07.2010999 years from1.1.2009,EGL575401,
11.08.2010Edged andnumbered 4 inblue (part of),Flat 2503 Landmark WestTower (twenty fifth floorflat),23.07.2010999 years from1.1.2009,EGL575403,
12.08.2010Edged andnumbered 4 inblue (part of),Flat 2603 Landmark WestTower (twenty sixth floorflat),07.07.2010999 years from1.1.2009,EGL575455,
13.08.2010Edged andnumbered 4 inblue (part of),Flat 2504 Landmark WestTower (twenty fifth floorflat),21.06.2010999 years from1.1.2009,EGL575509,
13.08.2010Edged andnumbered 4 inblue (part of),Flat 204 Landmark WestTower (second floor flat),08.06.2010999 years from1.1.2009,EGL575528,
17.08.2010Edged andnumbered 4 inblue (part of),Flat 2904 Landmark WestTower (twenty ninth floorflat),14.07.2010999 years from1.1.2009,EGL575604,
17.08.2010Edged andnumbered 4 inblue (part of),Flat 2201 Landmark WestTower (twenty second floorflat),23.07.2010999 years from1.1.2009,EGL575606,
17.08.2010Edged andnumbered 43 inblue onsupplementaryplan 1,Car Parking Space 100(basement level),23.07.2010999 years from1.1.2009,EGL575607,
19.08.2010Edged andnumbered 4 inblue (part of),Flat 2703 Landmark WestTower (twenty seventh floorflat),23.07.2010999 years from1.1.2009,EGL575682,
19.08.2010Edged andnumbered 44 inblue onsupplementaryplan 1,Car Parking Space 95(basement level),23.07.2010999 years from1.1.2009,EGL575683,
19.08.2010Edged andnumbered 4 inblue (part of),Flat 2806 Landmark WestTower (twenty eighth floorflat),03.06.2010999 years from1.1.2009,EGL575684,
19.08.2010Edged andnumbered 45 inblue onsupplementaryplan 1,Car Parking Space 106(basement level),03.06.2010999 years from1.1.2009,EGL575685,
20.08.2010Edged andnumbered 4 inblue (part of),Flat 2709 Landmark WestTower (twenty seventh floorflat),28.07.2010999 years from1.1.2009,EGL575742,
20.08.2010Edged andnumbered 4 onblue (part of),Flat 2401 Landmark WestTower (twenty fourth floorflat),28.07.2010999 years from1.1.2009,EGL575743,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 257 257  dated 21 Januar y 2015.   257 0
20.08.2010Edged andnumbered 4 inblue (part of),Flat 1803 Landmark WestTower (eighteenth floorflat),08.07.2010999 years from1.1.2009,EGL575744,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 258 258  dated 10 Februa ry 2012.   258 0
20.08.2010Edged andnumbered 4 inblue (part of),Flat 2708 Landmark WestTower (twenty seventh floorflat),28.07.2010999 years from1.1.2009,EGL575750,
20.08.2010Edged andnumbered 4 inblue (part of),Flat 2205 Landmark WestTower (twenty second floorflat),23.07.2010999 years from1.1.2009,EGL575778,
23.08.2010Edged andnumbered 4 inblue (part of),Flat 2608 Landmark WestTower (twenty sixth floorflat),28.07.2010999 years from1.1.2009,EGL575780,
23.08.2010Edged andnumbered 4 inblue (part of),Flat 205 Landmark WestTower (second floor flat),26.07.2010999 years from1.1.2009,EGL575781,
24.08.2010Edged andnumbered 4 inblue (part of),Flat 1005 Landmark WestTower (tenth floor flat),19.07.2010999 years from1.1.2009,EGL575844,
24.08.2010Edged andnumbered 46 inblue onsupplementaryplan 1,Car Parking Space 67(basement level),19.07.2010999 years from1.1.2009,EGL575845,
24.08.2010Edged andnumbered 4 inblue (part of),Flat 2410 Landmark WestTower (twenty fourth floorflat),02.07.2010999 years from1.1.2009,EGL575846,
25.08.2010Edged andnumbered 4 inblue (part of),Flat 806 Landmark WestTower (eighth floor flat),30.07.2010999 years from1.1.2009,EGL575890,
25.08.2010Edged andnumbered 4 inblue (part of),Flat 410 Landmark WestTower (fourth floor flat),23.07.2010999 years from1.1.2009,EGL575891,
25.08.2010Edged andnumbered 4 inblue (part of),Flat 2203 Landmark WestTower (twenty second floorflat),26.07.2010999 years from1.1.2009,EGL575892,
25.08.2010Edged andnumbered 4 inblue (part of),Flat 1006 Landmark WestTower (tenth floor flat),30.07.2010999 years from1.1.2009,EGL575902,
26.08.2010Edged andnumbered 4 inblue (part of),Flat 2107 Landmark WestTower (twenty first floorflat),30.07.2010999 years from1.1.2009,EGL575949,
26.08.2010Edged andnumbered 4 inblue (part of),Flat 2607 Landmark WestTower (twenty sixth floorflat),29.07.2010999 years from1.1.2009,EGL575950,
26.08.2010Edged andnumbered 4 inblue (part of),Flat 2705 Landmark WestTower (twenty seventh floorflat),30.07.2010999 years from1.1.2009,EGL575953,
26.08.2010Edged andnumbered 4 inblue (part of),Flat 2408 Landmark WestTower (twenty seventh floorflat),29.07.2010999 years from1.1.2009,EGL575954,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 309 Landmark WestTower (third floor flat),03.08.2010999 years from1.1.2009,EGL576035,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 305 Landmark WestTower (third floor flat),30.07.2010999 years from1.1.2009,EGL576037,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 804 Landmark WestTower (eighth floor flat),22.07.2010999 years from1.1.2009,EGL576038,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 601 Landmark WestTower (sixth floor flat),26.07.2010999 years from1.1.2009,EGL576039,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 1210 Landmark WestTower (twelfth floor flat),08.07.2010999 years from1.1.2009,EGL576041,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 1707 Landmark WestTower (seventeenth floorflat),30.07.2010999 years from1.1.2009,EGL576042,
27.08.2010Edged andnumbered 4 inblue (part of),Flat 2509 Landmark WestTower (twenty fifth floorflat),28.07.2010999 years from1.1.2009,EGL576044,
31.08.2010Edged andnumbered 4 inblue (part of),Flat 306 Landmark WestTower (third floor flat),13.08.2010999 years from1.1.2009,EGL576098,
31.08.2010Edged andnumbered 4 inblue (part of),Flat 1303 Landmark WestTower (thirteenth floorflat),30.06.2010999 years from1.1.2009,EGL576129,NOTE: See entry in the Charges Register rel ating to a Deed o r Variation 282 282  dated 20 August 2013.   282 0
01.09.2010Edged andnumbered 48 inblue onsupplementaryplan 1,Car Parking Space 107(basement level),13.08.2010999 years from1.1.2009,EGL576155,
01.09.2010Edged andnumbered 4 inblue (part of),Flat 2508 Landmark WestTower (twenty fifth floorflat),23.07.2010999 years from1.1.2009,EGL576163,
01.09.2010Edged andnumbered 4 inblue (part of),Flat 2108 Landmark WestTower (twenty first floorflat),23.07.2010999 years from1.1.2009,EGL576164,
01.09.2010Edged andnumbered 4 inblue (part of),Flat 1302 Landmark WestTower (thirteenth floorflat),30.06.2010999 years from1.1.2009,EGL576167,
01.09.2010Edged andnumbered 4 inblue (part of),Flat 2802 Landmark WestTower (twenty eighth floorflat),20.07.2010999 years from1.1.2009,EGL576168,
01.09.2010Edged andnumbered 4 inblue (part of),Flat 2403 Landmark WestTower (twenty fourth floorflat),28.07.2010999 years from1.1.2009,EGL576170,
01.09.2010Edged andnumbered 4 inblue (part of),Flat 611 Landmark WestTower (sixth floor flat),23.07.2009999 years from1.1.2009,EGL576172,
02.09.2010Edged andnumbered 4 inblue (part of),Flat 2309 Landmark WestTower (twenty third floorflat),01.07.2010999 years from1.1.2009,EGL576208,
06.09.2010Edged andnumbered 49 inblue onsupplementaryplan 1,Car Parking Space 92(basement level),29.06.2010999 years from1.1.2009,EGL576366,
07.09.2010Edged andnumbered 4 inblue (part of),Flat 2502 Landmark WestTower (twenty fifth floorflat),28.07.2010999 years from1.1.2009,EGL576394,
07.09.2010Edged andnumbered 4 inblue (part of),Flat 507 Landmark WestTower (fifth floor flat),23.07.2010999 years from1.1.2009,EGL576395,
07.09.2010Edged andnumbered 4 inblue (part of),Flat 504 Landmark WestTower (fifth floor flat),23.07.2010999 years from1.1.2009,EGL576396,
08.09.2010Edged andnumbered 4 inblue (part of),Flat 1807 Landmark WestTower (eighteenth floorflat),23.07.2010999 years from1.1.2009,EGL576436,
08.09.2010Edged andnumbered 4 inblue (part of),Flat 703 Landmark WestTower (seventh floor flat),28.07.2010999 years from1.1.2009,EGL576438,
08.09.2010Edged andnumbered 4 inblue (part of),Flat 608 Landmark WestTower (sixth floor flat),30.07.2010999 years from1.1.2009,EGL576440,
08.09.2010Edged andnumbered 4 inblue (part of),Flat 1011 Landmark WestTower  (tenth floor flat),23.07.2010999 years from1.1.2009,EGL576442,
13.09.2010Edged andnumbered 4 inblue (part of),Flat 2507 Landmark WestTower (twenty fifth floorflat),21.07.2010999 years from1.1.2009,EGL576606,
14.09.2010Edged andnumbered 4 inblue (part of),Flat 1804 Landmark WestTower (eighteenth floorflat),29.07.2010999 years from1.1.2009,EGL576642,
14.09.2010Edged andnumbered 4 inblue (part of),Flat 2109 Landmark WestTower (twenty first floorflat),23.07.2010999 years from1.1.2009,EGL576643,
15.09.2010Edged andnumbered 50 inblue onsupplementaryplan 1,Car Parking Space 98(basement level),21.06.2010999 years from1.1.2009,EGL576734,
20.09.2010Edged andnumbered 4 inblue (part of),Flat 607 Landmark WestTower (sixth floor flat),15.07.2010999 years from1.1.2009,EGL576840,
03.09.2010Edged andnumbered 4 inblue (part of),Flat 606 Landmark WestTower (sixth floor flat),30.07.2010999 years from1.1.2009,EGL576280,
22.09.2010Edged andnumbered 4 inblue (part of),Flat 2704 Landmark WestTower (twenty seventh floorflat),09.07.2010999 years from1.1.2009,EGL576943,
29.09.2010Edged andnumbered 5 inblue (part of),Flat 1102 Landmark EastTower (eleventh floor flat),20.09.2010999 years from1.1.2009,EGL577181,
30.09.2010Edged andnumbered 5 inblue (part of),Flat 2302 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,EGL577239,
30.09.2010Edged andnumbered 5 inblue (part of),Flat 2303 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,EGL577241,
04.10.2010Edged andnumbered 4 inblue (part of),Flat 2706 Landmark WestTower (twenty seventh floorflat),11.06.2010999 years from1.1.2009,AGL219051,
04.10.201051 in blue onsupplementaryplan 1,Parking space 47 (basementlevel),11.06.2010999 years from1.1.2009,AGL219052,
05.10.2010Edged andnumbered 5 inblue (part of),Flat 2109 Landmark EastTower (twenty first floorflat),07.09.2010999 years1.1.2009,AGL219124,
05.10.2010Edged andnumbered 5 inblue (part of),Flat 2306 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219125,
05.10.2010Edged andnumbered 5 inblue (part of),Flat 2307 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219126,
05.10.2010Edged andnumbered 5 inblue (part of),Flat 2308 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219129,
05.10.2010Edged andnumbered 5 inblue (part of),Flat 2309 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219130,
28.09.2010Edged andnumbered 5 inblue (part of),Flat 2310 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219131,
05.10.2010Edged andnumbered 5 inblue (part of),Flat 2101 Landmark EastTower (twenty first floorflat),01.09.2010999 years from1.1.2009,AGL219136,
05.10.201052 in blue onsupplementaryplan 1,Parking space 190 (basementlevel),11.06.2010999 years from1.1.2009,AGL219137,
06.10.201053 in blue onsupplementaryplan 1,Parking space 17 (basementlevel),01.09.2010999 years from1.1.2009,AGL219205,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 1610 Landmark EastTower (sixteenth floorflat),01.09.2010999 years from1.1.2009,AGL219206,
06.10.2010Edged andnumbered 4 inblue (part of),Flat 2302 Landmark WestTower (twenty third floorflat),23.07.2010999 years from1.1.2009,AGL219214,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 1808 Landmark EastTower (eighteenth floorflat),17.08.2010999 years from1.1.2009,AGL219215,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 601 Landmark EastTower (sixth floor flat),18.08.2010999 years from1.1.2009,AGL219216,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 1807 Landmark EastTower (eighteenth floorflat),17.08.2010999 years from1.1.2009,AGL219217,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 1001 Landmark EastTower (tenth floor flat),17.08.2010999 years from1.1.2009,AGL219219,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 2305 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219222,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 2304 Landmark EastTower (twenty third floorflat),03.09.2010999 years from1.1.2009,AGL219224,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 2108 Landmark EastTower (twenty first floorflat),03.09.2010999 years from1.1.2009,AGL219226,
06.10.2010Edged andnumbered 5 inblue (part of),Flat 2301 Landmark EastTower (twenty third floorflat),06.09.2010999 years from1.1.2009,AGL219227,
06.10.201054 in blue onsupplementaryplan 1,Parking space 157 (basementlevel),06.09.2010999 years from1.1.2009,AGL219228,
07.10.2010Edged andnumbered 4 inblue (part of),Flat 610 Landmark WestTower (sixth floor flat),08.07.2010999 years from1.1.2009,AGL219304,
07.10.2010Edged andnumbered 5 inblue (part of),Flat 2105 Landmark EastTower (twenty first floorflat),03.09.2010999 years from1.1.2009,AGL219305,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 1306 Landmark EastTower (thirteenth floorflat),21.09.2010999 years from1.1.2009,AGL219450,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 802 Landmark EastTower (eighth floor flat),27.08.2010999 years from1.1.2009,AGL219502,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 1602 Landmark EastTower (sixteenth floorflat),27.08.2010999 years from1.1.2009,AGL219503,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 1802 Landmark EastTower (eighteenth floorflat),27.08.2010999 years from1.1.2009,AGL219504,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 302 Landmark EastTower (third floor flat),27.08.2010999 years from1.1.2009,AGL219505,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 310 Landmark EastTower (third floor flat),27.08.2010999 years from1.1.2009,AGL219506,
12.10.2010Edged andnumbered 4 inblue (part of),Flat 706 Landmark WestTower (seventh floor flat),30.07.2010999 years from1.1.2009,AGL219567,
11.10.2010Edged andnumbered 5 inblue (part of),Flat 202 Landmark EastTower (second floor flat),27.08.2010999 years from1.1.2009,AGL219507,
12.10.2010Edged andnumbered 4 inblue (part of),Flat 503 Landmark WestTower (fifth floor flat),30.07.2010999 years from1.1.2009,AGL219568,
12.10.2010Edged andnumbered 5 inblue (part of),Flat 2102 Landmark EastTower (twenty first floorflat),06.09.2010999 years from1.1.2009,AGL219569,
12.10.2010Edged andnumbered 5 inblue (part of),Flat 2103 Landmark EastTower (twenty first floorflat),06.09.2010999 years from1.1.2009,AGL219573,
12.10.2010Edged andnumbered 5 inblue (part of),Flat 2104 Landmark EastTower (twenty first floorflat),06.09.2010999 years from1.1.2009,AGL219575,
12.10.2010Edged andnumbered 5 inblue (part of),Flat 2106 Landmark EastTower (twenty first floorflat),06.09.2010999 years from1.1.2009,AGL219576,
12.10.2010Edged andnumbered 5 inblue (part of),Flat 2107 Landmark EastTower (twenty first floorflat),06.09.2010999 years from1.1.2009,AGL219578,
12.10.2010Edged andnumbered 5 inblue (part of),Flat 2110 Landmark EastTower (twenty first floorflat),06.09.2010999 years from1.1.2009,AGL219579,
13.10.2010Edged andnumbered 5 inblue (part of),Flat 810 Landmark EastTower (eighth floor flat),17.08.2010999 years from1.1.2009,AGL219639,
14.10.2010Edged andnumbered 5 inblue (part of),Flat 1111 Landmark EastTower (eleventh floor flat),30.09.2010999 years from1.1.2009,AGL219711,
14.10.2010Edged annumbered 5 inblue (part of),Flat 1107 Landmark EastTower (eleventh floor flat),01.10.2010999 years from1.1.2009,AGL219712,
15.10.201061 in blue onsupplementaryplan 1,Parking space 156 LandmarkEast Tower (basement level),01.10.2010999 years from1.1.2009,AGL219782,
15.10.2010Edged andnumbered 5 inblue (part of),Flat 2601 Landmark EastTower (twenty sixth floorflat),01.10.2010999 years from1.1.2009,AGL219783,
15.10.2010Edged andnumbered 5 inblue (part of),Flat 1609 Landmark EastTower (sixteenth floorflat),16.09.2010999 years from1.1.2009,AGL219856,
19.10.2010Edged andnumbered 4 inblue (part of),Flat 602 Landmark WestTower (sixth floor flat),23.07.2010999 years from1.1.2009,AGL220007,
19.10.2010Edged andnumbered 5 inblue (part of),Flat 2508 Landmark EastTower (twenty fifth floorflat),17.08.2010999 years from1.1.2009,AGL220019,
20.10.2010Edged andnumbered 5 inblue (part of),Flat 1409 Landmark EastTower (fourteenth floorflat),01.10.2010999 years from1.1.2009,AGL220103,
20.10.2010Edged andnumbered 5 inblue (part of),Flat 701 Landmark EastTower (seventh floor flat),17.08.2010999 years from1.1.2009,AGL220170,
20.10.2010Edged andnumbered 5 inblue (part of),Flat 311 Landmark EastTower (third floor flat),18.08.2010999 years from1.1.2009,AGL220177,
20.10.2010Edged andnumbered 5 inblue (part of),Flat 1510 Landmark EastTower (fifteenth floorflat),17.09.2010999 years from1.1.2009,AGL220182,
20.10.201096 in blue onsupplementaryplan 1,Parking space 111 LandmarkEast Tower (basement level),17.09.2010999 years from1.1.2009,AGL220189,
21.10.2010Edged andnumbered 5 inblue (part of),Flat 801 Landmark EastTower (eighth floor flat),17.08.2010999 years from1.1.2009,AGL220209,
21.10.2010Edged andnumbered 5 inblue (part of),Flat 2401 Landmark EastTower (twenty fourth floorflat),12.10.2010999 years from1.1.2009,AGL220217,
21.10.201055 in blue onsupplementaryplan 1,Parking space 155 LandmarkEast Tower (basement level),12.10.2010999 years from1.1.2009,AGL220220,
22.10.2010Edged andnumbered 5 inblue (part of),Flat 901 Landmark EastTower (ninth floor flat),17.08.2010999 years from1.1.2009,AGL220360,
22.10.2010Edged andnumbered 5 inblue (part of),Flat 811 Landmark EastTower (eighth floor flat),17.10.2010999 years from1.1.2009,AGL220363,
25.10.2010Edged andnumbered 5 inblue (part of),Flat 2509 Landmark EastTower (twenty fifth floorflat),17.08.2010999 years from1.1.2009,AGL220479,
25.10.2010Edged andnumbered 5 inblue (part of),Flat 2609 Landmark EastTower (twenty sixth floorflat),30.09.2010999 years from1.1.2009,AGL220480,
25.10.2010Edged andnumbered 5 inblue (part of),Flat 1502 Landmark EastTower (fifteenth floorflat),13.10.2010999 years from1.1.2009,AGL220482,
27.10.2010Edged andnumbered 5 inblue (part of),Flat 1207 Landmark EastTower (twelfth floor flat),28.09.2010999 years from1.1.2009,AGL220591,
25.10.201056 in blue onsupplementaryplan 1,Parking space 160 LandmarkEast Tower (basement level),13.10.2010999 years from1.1.2009,AGL220486,
19.10.201057 in blue onsupplementaryplan 1,Parking space 113 LandmarkEast Tower (basement level),01.10.2010999 years from1.1.2009,AGL220519,
27.10.2010Edged andnumbered 5 inblue (part of),Flat 1806 Landmark EastTower (eighteenth floorflat),21.10.2010999 years from1.1.2009,AGL220577,
27.10.2010Edged andnumbered 5 inblue (part of),Flat 2208 Landmark EastTower (twentieth floorflat),04.10.2010999 years from1.1.2009,AGL220592,
27.10.2010Edged andnumbered 5 inblue (part of),Flat 2002 Landmark EastTower (twentieth floorflat),07.10.2010999 years from1.1.2009,AGL220593,
27.10.2010Edged andnumbered 5 inblue (part of),Flat 2209 Landmark EastTower (twentieth floorflat),05.10.2010999 years from1.1.2009,AGL220594,
27.10.201058 in blue onsupplementaryplan 1,Parking space 158 LandmarkEast Tower (basement level),21.09.2010999 years from1.1.2009,AGL220597,
28.10.2010Edged andnumbered 5 inblue (part of),Flat 1980 Landmark EastTower (nineteenth floorflat),13.10.2010999 years from1.1.2009,AGL220663,
28.10.2010Edged andnumbered 5 inblue (part of),Flat 1609 Landmark EastTower (sixteenth floorflat),02.09.2010999 years from1.1.2009,AGL220686,
