Registration date and plan ref.,Property description,Date of lease and term.,Lessee's title.,Notes.
26.10.2011Edged andnumbered 5 inblue (part of),Flat 2710 Landmark EastTower (twenty seventh floorflat),19.08.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242723,
27.10.2011Edged andnumbered 5 inblue (part of),Flat 4203 Landmark EastTower (forty second floorflat),01.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242837,
27.10.2011Edged andnumbered 5 inblue (part of),Flat 1605 Landmark EastTower (sixteenth floorflat),05.10.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL242878,NOTE: See entry in the Charges  Register re lating to a Deed of 774 774  Variation dated 2 March 2012.   774 0
15.11.2011Edged andnumbered 5 inblue (part of),Flat 1405 Landmark EastTower (fourteenth floorflat),14.10.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL244119,
21.11.2011Edged andnumbered 5 inblue (part of),Flat 1805 Landmark EastTower (eighteenth floorflat),04.11.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL244570,
12.12.2011Edged andnumbered 5 inblue (part of,Flat 1505 Landmark EastTower  (fifteenth floorflat),04.10.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL245854,
12.12.2011156 in blue onthesupplementaryplan,Parking space 137 (basementlevel),04.10.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL245854,
13.12.2011Edged andnumbered 5 inblue (part of),Flat 1705 Landmark EastTower (seventeenth floorflat),11.11.2011999 years from1.1.2009,AGL246170,
28.12.2011Edged andnumbered 5 inblue (part of),Flat 1305 Landmark EastTower (thirteenth floorflat),11.11.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL246993,
28.12.2011Edged andnumbered 5 inblue (part of),Flat 4303 Landmark EastTower (forty third floorflat),11.11.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL246998,
28.12.2011157 in blue onthesupplementaryplan,Parking space 178 (basementlevel),11.11.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL246998,
05.01.2012Edged andnumbered 5 inblue (part of),Flat 4304 Landmark EastTower (forty third floorflat),16.12.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL247267,
05.01.2012158 and 159 inblue on thesupplementaryplan,Parking spaces 180 and 181(basement level),16.12.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL247267,
10.02.2012Edged andnumbered 3 inblue (part of): Edged andnumbered 6 inblue (part of),Podium Level MayflowerHouse,08.02.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL249873,
21.02.2012Edged andnumbered 5 inblue (part of),Flat 2910 Landmark EastTower ( twenty ninth floorflat),08.02.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL250376,
01.03.2012Edged andnumbered 5 inblue (part of),Flat 4404 Landmark EastTower (forty fourth floorflat),24.02.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL251130,
01.03.2012160 in blue onthesupplementaryplan,Parking space 186 (basementlevel),24.02.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL251130,
08.03.2012161 in blue onthesupplementaryplan,Parking space 191 (basementlevel),02.03.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL251601,
15.03.2012162 in blue onthesupplementaryplan,Parking space 14 (basementlevel),10.02.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL252085,
06.06.2012Edged andnumbered 4 inblue (part of),Flat 1503 Landmark WestTower (fifteenth floorflat),01.05.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL257911,
06.06.2012163 in blue onthesupplementaryplan,Parking space 13 (basementlevel),01.05.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL257911,
06.06.2012Edged andnumbered 4 inblue (part of),Flat 1603 Landmark WestTower (sixteenth floorflat),30.04.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL257923,
06.06.2012164 in blue onthesupplementaryplan,Parking space 108 (basementlevel),30.04.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL257923,
22.06.2012Edged andnumbered 5 inblue (part of),Flat 4402 Landmark EastTower (forty fourth floorflat),08.06.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL259108,
22.06.2012165 and 166 onthesupplementaryplan,Parking spaces 182 and 183,08.06.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL259109,
26.06.2012167 and 168 onthesupplementaryplan,Parking spaces 16 and 18,16.05.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL259289,
02.07.2012Edged andnumbered 5 inblue (part of),Flat 2903 Landmark WestTower (twenty ninth floorflat),30.04.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL259688,
02.07.2012169 on thesupplementaryplan,Parking space 58 (basementlevel),30.04.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL259688,
13.07.2012Edged andnumbered 5 inblue (part of),4401 Landmark East Tower(forty fourth floor flat),15.06.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL260682,
13.07.2012170 on thesupplementaryplan,Parking space 136 (basementlevel),13.07.2012999 years fromand including1.1.2009 untiland including31.12.3007,AGL260682,
06.08.2012171 in blue onthesupplementaryplan,Parking space 57 (basementlevel),26.06.2012999 years from1.1.2009,AGL262369,
06.09.2012Edged andnumbered 5 inblue (part of),Flat 3110 Landmark EastTower (thirty first floorflat),30.09.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL264805,
18.02.2013172 in blue onthesupplementaryplan,Parking space 93 (basementlevel),16.12.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL277648,
14.03.2013173 in blue onthesupplementaryplan,Parking space 187 (basementlevel),01.03.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL279369,
14.03.2013Edged andnumbered 5 inblue (part of),Flat 4302 Landmark EastTower (forty third floorflat),01.03.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL279369,
27.03.2013174 in blue onthesupplementaryplan,Parking space 179 (basementlevel),15.03.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL280231,
19.04.2013Edged andnumbered 5 inblue (part of),Flat 1403 Landmark EastTower (fourteenth floorflat),06.03.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL281991,
"23.05.2013175,176 and177 in blue onthesupplementaryplan","Parking spaces 175,188 and189 (basement level)",10.05.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL284545,
23.05.2013Edged andnumbered 5 inblue (part of),Flat 4301 Landmark EastTower (forty third floorflat),10.05.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL284545,
25.07.2013Edged andnumbered 5 inblue (part of): Edged andnumbered 7 inblue (part of),"Units 5-10 Landmark Square(Levels -2,-1,0,1 and 2)",15.01.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL289066,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 811 811  dated 20 August 2015.   811 0
25.06.2013178 in blue onsupplementaryplan 1 : 179in blue onsupplementaryplan 1,Parking space 133 (basementlevel) : Parking space 165(basement level),15.01.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL289066,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 812 812  dated 20 August 2015.   812 0
22.11.2013Edged andnumbered 2 inblue (part of),Land at Endeavour House(Levels 0 and -1),21.10.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL297845,
23.10.2013180 in blue onsupplementaryplan 1,Parking space 71 (basementlevel),03.10.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL295505,
06.02.2014181 in blue onsupplementaryplan 1,Parking space 177 (basementlevel),22.01.2014999 years fromand including1.1.2009 untiland including31.12.3007,AGL303687,
20.05.2014182 in blue onsupplementaryplan 1,Parking space 25 (basementlevel),02.05.2014999 years fromand including1.1.2009 untiland including31.12.3007,AGL312342,
24.09.2014183 in blue onsupplementaryplan 1,Parking space 26 (basementlevel),28.07.2014999 years fromand including1.1.2009 untiland including31.12.3007,AGL323375,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 817 817  dated 28 July 2 017.   817 0
03.12.2014185 in blue onsupplementaryplan 1,Parking space 176 (basementlevel),14.11.2014999 years fromand including1.1.2009 untiland including31.12.3007,AGL329031,
09.04.2015186 in blue onsupplementaryplan 1,Parking space 109 (basementlevel),20.08.2013999 years fromand including1.1.2009 untiland including31.12.3007,AGL339742,
10.07.2015Edged andnumbered 8 inblue (part of),Land lying to the west ofMarsh Wall,01.07.2015999 years from1.7.2015,AGL348265,
17.09.2015Edged andnumbered 4 inblue (part of),"Parts of Landmark WestTower at Podium Level 0,Level 01, Level -01 andbasement Level 02",11.08.2015999 years fromand including30.07.2015 toand including29.07.3014,AGL354947,NOTE: The lease dated 17.09.2015 referred t o above has been determined 821 821  as to the part edged in yellow on supplemen tary plan 2 to th e title 821 0  plan.    821 0
"22.12.201511,187,188 and189 in blue onthesupplementaryplan","Parking spaces 3,20,21 and77 (basement level)",11.08.2015999 years fromand including30.07.2015until andincluding29.07.3014,AGL363333,
22.01.2016190 in blue onthesupplementaryplan,Parking space 12 (basementlevel),21.01.2015999 years fromand including1.1.2009 untiland including31.12.3007,AGL365942,
16.06.2016Edged andnumbered 4 inblue (part of),Flat 308 Landmark WestTower (third floor flat),03.06.2016999 years fromand including1.1.2009 untiland including31.12.3008,AGL380249,
27.06.2016Edged andnumbered 5 inblue (part of),Flat 4108 Landmark EastTower (forty first floorflat),22.06.2016999 years fromand including1.1.2009 untiland including31.12.3007,AGL381239,
02.11.2016Edged andnumbered 4 inblue (part of),35 and 40 Landmark Square(basement level minus 01(-1)),24.10.2016999 years fromand including1.1.2015 untiland including31.12.3013,AGL393979,
02.11.2016191 in blue onthesupplementaryplan,Parking space 42 (basementlevel),24.10.2016999 years fromand including1.1.2015 untiland including31.12.3013,AGL393983,
02.11.2016Edged andnumbered 192in blue (partof),Land on the East side ofWestferry Road,24.10.2016999 years fromand including24.10.2016expiring on23.10.3015,AGL393989,
10.08.2011Edged andnumbered 5 inblue (part of),Flat 3703 Landmark EastTower (thirty seventh floorflat),29.07.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL237883,
28.02.2011Edged andnumbered 5 inblue (Part of),Flat 4010 Landmark EastTower (fortieth floor flat),14.02.2011999 years fromand including1.1.2009 untiland including31.12.3007,AGL228373,NOTE: See entry in the Charges Register rel ating to a Deed o f Variation 830 830  dated 14 Novemb er 2014.   830 0
